route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_18,12253016508635,6.34375,True,68.375,True,10.77832512315271,,11.527200698852539,cruise
data,segment_18,12253066140041,6.34375,True,68.375,True,10.77832512315271,,11.276905059814453,cruise
data,segment_18,12253113784813,6.338193085073569,True,68.92500305175781,True,10.874550858047547,,11.517560005187988,cruise
data,segment_18,12253166224462,6.3125,True,68.92500305175781,True,10.918812364634901,,11.397109031677246,cruise
data,segment_18,12253214250562,6.34375,True,69.2750015258789,True,10.92019728486761,,11.416064262390137,cruise
data,segment_18,12253280346869,6.374188429385227,True,69.2750015258789,True,10.86805046529826,,11.221305847167969,cruise
data,segment_18,12253336426892,6.345044201225949,True,69.7750015258789,True,10.99677154532626,,11.513731956481934,cruise
data,segment_18,12253382570416,6.328125,True,69.7750015258789,True,11.026173080632717,,11.416447639465332,cruise
data,segment_18,12253430780985,6.34375,True,70.125,True,11.054187192118226,,11.801660537719727,cruise
data,segment_18,12253477775597,6.346343698901156,True,70.125,True,11.049669435984356,,11.626578330993652,cruise
data,segment_18,12253532054131,6.330281832876984,True,70.5,True,11.136944904072177,,11.970757484436035,cruise
data,segment_18,12253579136184,6.35538063033506,True,70.5,True,11.092962656476358,,11.80772876739502,cruise
data,segment_18,12253630978637,6.328125,True,70.82499694824219,True,11.192098283179012,,12.144452095031738,cruise
data,segment_18,12253678234272,6.34375,True,70.82499694824219,True,11.164531538639162,,11.937747955322266,cruise
data,segment_18,12253728137796,6.34375,True,71.3499984741211,True,11.247290399861454,,12.197772979736328,cruise
data,segment_18,12253770360238,6.296875,True,71.3499984741211,True,11.331017127403847,,11.915945053100586,cruise
data,segment_18,12253816784524,6.316750727272988,True,72.0250015258789,True,11.402223173839392,,12.185999870300293,cruise
data,segment_18,12253866310315,6.3125,True,72.0250015258789,True,11.409901231822401,,12.110831260681152,cruise
data,segment_18,12253916203163,6.3125,True,72.625,True,11.504950495049505,,12.456881523132324,cruise
data,segment_18,12253982111673,6.312857284517862,True,72.625,True,11.504299357140727,,12.386519432067871,cruise
data,segment_18,12254028044848,6.328125,True,72.92500305175781,True,11.523951099537037,,12.704950332641602,cruise
